name,address,telephone,parlimen,dun,latitude,longitude
McDonald'sBukitBintang,"120-120AJalanBukitBintang,55100,KualaLumpur,Malaysia",03-21427843,P.120 Bukit Bintang,,3.146847,101.710931
McDonald'sBangsar,"48,JalanTelawiLima,59100,BangsarBaru,Bangsar,KualaLumpur,Malaysia",03-22843790,P.121 Lembah Pantai,,3.13295,101.672297
McDonald'sSS2,"No.56JalanSS2/61,47300,PetalingJaya,Selangor,Malaysia",03-78731026,P.106 Damansara,N.35 Kampung Tunku,3.118274,101.620423
McDonald'sKepong,"No.1&2Jalan54,DesaJaya,52100,Kepong,Selangor,Malaysia",03-62614381,P.106 Damansara,N.37 Bukit Lanjan,3.213549,101.63281
McDonald'sSubangParade,"LG10SubangParade,No.5JalanSS16/1,47500,SubangJaya,Selangor,Malaysia",03-55495398,P.104 Subang,N.31 Subang Jaya,3.081861,101.585211
McDonald'sTitiwangsaDT,"Lot8,Section85,JalanPahang,53000,Setapak,KualaLumpur,Malaysia",03-40232602,P.118 Setiawangsa,,3.179551,101.700383
McDonald'sGreenlaneDT,"Lot2506/7,Section6,JalanMasjidNegeri,11600,Penang,PulauPinang,Malaysia",04-2834299,P.050 Jelutong,N.31 Batu Lancang,5.401264,100.304258
McDonald'sPlazaPelangi,"Lot1.19,PlazaPelangi,JalanTebrau/JalanKuning,80400,JohorBahru,Johor,Malaysia",07-3311746,P.160 Johor Bahru,N.45 Stulang,1.4799,103.7651
McDonald'sAlphaAngle,"LotG-13,GroundFloor,AlphaAngleComple,JalanR1,WangsaMaju,53000,Setapak,KualaLumpur,Malaysia",03-41311340,P.116 Wangsa Maju,,3.202098,101.734244
McDonald'sKajang,"27&28,JalanAbdulAziz,43000,Kajang,Selangor,Malaysia",03-87335649,P.102 Bangi,N.25 Kajang,2.991572,101.791236
McDonald'sKuching,"2ndFloor,Lot268-269,JalanTuankuAbdulRahman,93100,Kuching,Sarawak,Malaysia",082-232278,P.195 Bandar Kuching,N.09 Padungan,1.557502,110.353033
McDonald'sSOGO,"Lot6,LGFSogoPernasDepartmentStoresS/B,190,JalanTuankuAbdulRahman,50100,KualaLumpur,Malaysia",03-22028063,P.120 Bukit Bintang,,3.156262,101.695574
McDonald'sLeisureMallCheras,"LG16,LowerGroundFloor,LeisureMall,TamanSegar,No.6,JalanCheras,56100,Cheras,KualaLumpur,Malaysia",03-91327577,P.123 Cheras,,3.090122,101.74152
McDonald'sTaipan,"No4,JalanUSJ10/1,TaipanUSJ,SubangJaya,47620,USJ,Selangor,Malaysia",03-80115219,P.104 Subang,N.31 Subang Jaya,3.048248,101.585878
McDonald'sSunshineSquare,"Level1,Lot1.01,AnneedBuilding,SunshineComple,11950,BayanBaru,PulauPinang,Malaysia",04-6427731,P.052 Bayan Baru,N.36 Pantai Jerejak,5.325744,100.287327
McDonald'sSelayangMall,"LotB.44,SelayangMallShoppingCentre,JalanSU9,TamanSelayangUtama,68100,Selayang,Selangor,Malaysia",03-61201740,P.106 Damansara,N.37 Bukit Lanjan,3.237539,101.644754
McDonald'sSegamat,"ShopNo.111,112,113,JalanSiaHarYam,85000,Segamat,Johor,Malaysia",07-9320531,P.140 Segamat,N.02 Jementah,2.503335,102.821686
McDonald'sMuar,"G-25,WeteParade,JalanAli,84000,Muar,Johor,Malaysia",06-9517848,P.145 Bakri,N.12 Bentayan,2.04456,102.566181
